Points_index,px,py,pz
b11,-79.4924,-112.55,57.32318
b12,-79.4924,-112.55,77.41 
b13,-89.4924,-112.55,57.32318
b14,-89.4924,-112.55,77.41
b15,-99.4924,-112.55,57.32318
b16,-99.4924,-112.55,77.41
b21,-109.4924,-112.55,57.32318
b22,-109.4924,-112.55,77.41
b23,-119.4924,-112.55,57.32318
b24,-119.4924,-112.55,77.41
b25,-129.4924,-112.55,57.32318
b26,-129.4924,-112.55,77.41
f11,-79.4924,-12.55,57.32318
f12,-79.4924,-12.55,77.41
f13,-89.4924,-12.55,57.32318
f14,-89.4924,-12.55,77.41
f15,-99.4924,-12.55,57.32318
f16,-99.4924,-12.55,77.41
f21,-109.4924,-12.55,57.32318
f22,-109.4924,-12.55,77.41
f23,-119.4924,-12.55,57.32318
f24,-119.4924,-12.55,77.41
f25,-129.4924,-12.55,57.32318
f26,-129.4924,-12.55,77.41
